schema,model,mode,T,P,prime_f1,prime_recall,prime_precision,strategy,exact_f1,exact_recall,exact_precision,relaxed_f1,relaxed_recall,relaxed_precision,questions,minutes,keys
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,prime,8,5,1.0000,1.0000,1.0000,DA-TB,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,6,12.4319,"date,month,oppID,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,prime,8,5,1.0000,1.0000,1.0000,DA-BD,0.6667,0.5000,1.0000,0.6667,0.5000,1.0000,15,24.0948,"date,month,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,prime,8,5,1.0000,1.0000,1.0000,DA-BB,0.6667,0.5000,1.0000,0.6667,0.5000,1.0000,15,25.6683,"date,month,tmID,year"
teams_half,Qwen3-30B-A3B-Thinking-2507,prime,11,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,7.3369,"half,tmID,year"
teams_half,Qwen3-30B-A3B-Thinking-2507,prime,11,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,7.1738,"half,tmID,year"
teams_half,Qwen3-30B-A3B-Thinking-2507,prime,11,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,11.7748,"half,tmID,year"
teams_half,Qwen3-30B-A3B-Thinking-2507,prime,11,3,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,10.1309,"half,tmID,year"
teams_post,Qwen3-30B-A3B-Thinking-2507,prime,17,2,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3,5.7163,"tmID,year"
teams_post,Qwen3-30B-A3B-Thinking-2507,prime,17,2,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3,5.1688,"tmID,year"
teams_post,Qwen3-30B-A3B-Thinking-2507,prime,17,2,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,8.1524,"tmID,year"
teams_post,Qwen3-30B-A3B-Thinking-2507,prime,17,2,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,8.5372,"tmID,year"
goalies,Qwen3-30B-A3B-Thinking-2507,prime,23,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,7.0950,"playerID,stint,year"
goalies,Qwen3-30B-A3B-Thinking-2507,prime,23,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,7.1113,"playerID,stint,year"
goalies,Qwen3-30B-A3B-Thinking-2507,prime,23,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,9.7451,"playerID,stint,year"
goalies,Qwen3-30B-A3B-Thinking-2507,prime,23,3,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,11.1184,"playerID,stint,year"
team_splits,Qwen3-30B-A3B-Thinking-2507,prime,43,2,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3,7.5571,"tmID,year"
team_splits,Qwen3-30B-A3B-Thinking-2507,prime,43,2,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3,7.3068,"tmID,year"
team_splits,Qwen3-30B-A3B-Thinking-2507,prime,43,2,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,8.2207,"tmID,year"
team_splits,Qwen3-30B-A3B-Thinking-2507,prime,43,2,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,8.3282,"tmID,year"
